Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
AGE-RAGE signaling pathway in diabetic complications	2/100	0.009828577820710147	0.0169458238288106	0	0	14.48396501457726	66.95156387938638	TNF;AGER
Amoebiasis	2/102	0.010208747246936652	0.01730296143548585	0	0	14.192857142857143	65.06730050963371	IL10;TNF
C-type lectin receptor signaling pathway	2/104	0.010595391852093367	0.017658986420155613	0	0	13.913165266106443	63.26783872604579	IL10;TNF
PI3K-Akt signaling pathway	3/354	0.015674765631546444	0.02569633710089581	0	0	6.210509654954099	25.80903450086288	IL2RA;IL2RB;IL6R
Apoptosis	2/142	0.019120312299200925	0.030839213385807942	0	0	10.11734693877551	40.03438268908486	TRAF1;TNF
Non-alcoholic fatty liver disease	2/155	0.022523250126785396	0.035751190677437136	0	0	9.251633986928105	35.0933643209813	TNF;IL6R
Kaposi sarcoma-associated herpesvirus infection	2/193	0.033763288787185465	0.05275513872997729	0	0	7.396783844427824	25.063123299077713	TYK2;IL6ST
Human immunodeficiency virus 1 infection	2/212	0.040052282579158924	0.061618896275629116	0	0	6.72108843537415	21.625569921688047	TRAF6;TNF
Human cytomegalovirus infection	2/225	0.04459256228877601	0.06756448831632729	0	0	6.325112107623318	19.67228903251222	TNF;IL6R
Shigellosis	2/246	0.05230977958026773	0.07807429788099662	0	0	5.774590163934426	17.038343675733206	TRAF6;TNF
Type II diabetes mellitus	1/46	0.0667940570746933	0.09822655452160779	0	0	15.268199233716475	41.317902512852925	TNF
MAPK signaling pathway	2/294	0.07156001554615596	0.10371016745819704	0	0	4.813600782778865	12.69451849493816	TRAF6;TNF
Legionellosis	1/57	0.08211573765387477	0.11730819664839252	0	0	12.26231527093596	30.65119706904604	TNF
Human papillomavirus infection	2/331	0.08773829405765211	0.12357506205303113	0	0	4.264220581849761	10.376540831741336	TYK2;TNF
Acute myeloid leukemia	1/67	0.09583330995635121	0.13310181938382112	0	0	10.399164054336469	24.387547080252187	RUNX1
Fc epsilon RI signaling pathway	1/68	0.09719411637551117	0.13314262517193312	0	0	10.243437982501286	23.87791592101611	TNF
Adipocytokine signaling pathway	1/69	0.098552942914148	0.1331796525866865	0	0	10.092292089249494	23.385469502095955	TNF
Alzheimer disease	2/369	0.10538328839120088	0.14051105118826784	0	0	3.815297781237836	8.584996917471212	TNF;AGER
Chronic myeloid leukemia	1/76	0.10800952509913052	0.14211779618306647	0	0	9.14712643678161	20.3572579045293	RUNX1
Hypertrophic cardiomyopathy	1/90	0.12663583920182195	0.164462128833535	0	0	7.702828361100349	15.917430476118055	TNF
TGF-beta signaling pathway	1/94	0.13188821313203924	0.16908745273338366	0	0	7.370040786058584	14.930232938854378	TNF
Dilated cardiomyopathy	1/96	0.13450293659933887	0.17025688177131504	0	0	7.214156079854809	14.472818068487964	TNF
Choline metabolism in cancer	1/98	0.13711004640271124	0.17138755800338906	0	0	7.064699608958407	14.037356193959155	SLC22A4
Insulin resistance	1/108	0.15003213723586475	0.18452927959036938	0	0	6.401224621334193	12.142519852667972	TNF
HIF-1 signaling pathway	1/109	0.1513140092641029	0.18452927959036938	0	0	6.341634738186462	11.975530799282826	IL6R
Pathways of neurodegeneration	2/475	0.1588403535499445	0.1913739199396922	0	0	2.9442766535789793	5.4170440271148275	TNF;AGER
Sphingolipid signaling pathway	1/119	0.16403037337016033	0.19297690984724744	0	0	5.801285797779077	10.487005597367974	TNF
Neurotrophin signaling pathway	1/119	0.16403037337016033	0.19297690984724744	0	0	5.801285797779077	10.487005597367974	TRAF6
Platelet activation	1/124	0.17031928931456847	0.19804568524949823	0	0	5.5640594336977856	9.848832720808518	FCGR2A
FoxO signaling pathway	1/131	0.17904699159160314	0.20346249044500359	0	0	5.262599469496021	9.052234105349967	IL10
Natural killer cell mediated cytotoxicity	1/131	0.17904699159160314	0.20346249044500359	0	0	5.262599469496021	9.052234105349967	TNF
Autophagy	1/137	0.18645718406173262	0.20894284871898922	0	0	5.028904665314402	8.446315147566118	TRAF6
Fluid shear stress and atherosclerosis	1/139	0.18891284859920562	0.20894284871898922	0	0	4.95552223888056	8.258226612129908	TNF
Ubiquitin mediated proteolysis	1/140	0.19013799233428016	0.20894284871898922	0	0	4.919622922351774	8.16659960848822	TRAF6
Signaling pathways regulating pluripotency of stem cells	1/143	0.19380269978494688	0.21065510846189878	0	0	4.814958717824187	7.900936293655021	IL6ST
mTOR signaling pathway	1/154	0.20710330503717117	0.2226917258464206	0	0	4.466306062654947	7.032366614617934	TNF
Tight junction	1/169	0.22489910259937282	0.23925436446741788	0	0	4.064449917898194	6.064579583267902	RUNX1
Chemokine signaling pathway	1/192	0.25143835105253676	0.26467194847635445	0	0	3.570861166275501	4.929778966484762	CCR6
Diabetic cardiomyopathy	1/203	0.2638184122405329	0.27427625365699226	0	0	3.374530556503926	4.496542545859288	AGER
Proteoglycans in cancer	1/205	0.26604796604728254	0.27427625365699226	0	0	3.341108857336038	4.423890948661195	TNF
Ras signaling pathway	1/232	0.2955154938047619	0.30154642224975703	0	0	2.9465591879384982	3.5919558655424773	REL
Prion disease	1/273	0.3380869067508666	0.3415019260109764	0	0	2.497210953346856	2.7081061519140195	TNF
Amyotrophic lateral sclerosis	1/364	0.4238759327460618	0.4238759327460618	0	0	1.862543934644248	1.5986484250483348	TNF
